RP:1	PR:LOC:(63548356,63556669)@chr19@Human
RP:1462	PR:LOC:(82803339,82912737)@chr5@Human
RP:146206	PR:LOC:(66230726,66248867)@chr16@Human
RP:146212	PR:LOC:(65880829,65918165)@chr16@Human
RP:146223	PR:LOC:(65206155,65288111)@chr16@Human
RP:146225	PR:LOC:(65170852,65179679)@chr16@Human
RP:146227	PR:LOC:(65018741,65074230)@chr16@Human
RP:146253	PR:LOC:(51246516,51249025)@chr16@Human
RP:146279	PR:LOC:(10628862,10696303)@chr16@Human
RP:1463	PR:LOC:(19188762,19224042)@chr19@Human
RP:146310	PR:LOC:(1956876,1958978)@chr16@Human
RP:146325	PR:LOC:(550423,555530)@chr16@Human
RP:146330	PR:LOC:(682508,695809)@chr16@Human
RP:146336	PR:LOC:(1054094,1068674)@chr16@Human
RP:146378	PR:LOC:(29942156,29943524)@chr16@Human
RP:146395	PR:LOC:(27709717,27806979)@chr16@Human
RP:1464	PR:LOC:(73754019,73792151)@chr15@Human
RP:146433	PR:LOC:(69237969,69252085)@chr16@Human
RP:146434	PR:LOC:(3426112,3433491)@chr16@Human
RP:146439	PR:LOC:(3017686,3023004)@chr16@Human
RP:146443	PR:LOC:(2727078,2734799)@chr16@Human
RP:146456	PR:LOC:(67934661,67943190)@chr16@Human
RP:146481	PR:LOC:(34569416,34572357)@chr16@Human
RP:146485	PR:LOC:(34063317,34236711)@chr16@Human
RP:1465	PR:LOC:(198184317,198207907)@chr1@Human
RP:146540	PR:LOC:(30499495,30504511)@chr16@Human
RP:146542	PR:LOC:(30488526,30490508)@chr16@Human
RP:146547	PR:LOC:(31057750,31068888)@chr16@Human
RP:146556	PR:LOC:(5034125,5055973)@chr16@Human
RP:146562	PR:LOC:(4724319,4739398)@chr16@Human
RP:1466	PR:LOC:(75754964,75775267)@chr12@Human
RP:146664	PR:LOC:(72376393,72458066)@chr17@Human
RP:146691	PR:LOC:(17690867,17816443)@chr17@Human
RP:1467	PR:LOC:(120732369,120733122)@chr3@Human
RP:146705	PR:LOC:(76816674,76827450)@chr17@Human
RP:146712	PR:LOC:(78494961,78501113)@chr17@Human
RP:146713	PR:LOC:(74741304,74931797)@chr17@Human
RP:146722	PR:LOC:(70202048,70220703)@chr17@Human
RP:146723	PR:LOC:(70092652,70101943)@chr17@Human
RP:146754	PR:LOC:(7598597,7677576)@chr17@Human
RP:146760	PR:LOC:(1786540,1787852)@chr17@Human
RP:146779	PR:LOC:(57811646,57847569)@chr17@Human
RP:146795	PR:LOC:(67850676,67862872)@chr17@Human
RP:1468	PR:LOC:(77289776,77298447)@chr17@Human
RP:146802	PR:LOC:(19522221,19560515)@chr17@Human
RP:146822	PR:LOC:(14079716,14080891)@chr17@Human
RP:146845	PR:LOC:(9420712,9487427)@chr17@Human
RP:146849	PR:LOC:(8573977,8588879)@chr17@Human
RP:146850	PR:LOC:(8646766,8711719)@chr17@Human
RP:146852	PR:LOC:(8183913,8190088)@chr17@Human
RP:146853	PR:LOC:(31112046,31116211)@chr17@Human
RP:146857	PR:LOC:(30790630,30797142)@chr17@Human
RP:146861	PR:LOC:(30543652,30545490)@chr17@Human
RP:146862	PR:LOC:(30499396,30537691)@chr17@Human
RP:146880	PR:LOC:(60176243,60208294)@chr17@Human
RP:146894	PR:LOC:(39280070,39296521)@chr17@Human
RP:1469	PR:LOC:(23676190,23679574)@chr20@Human
RP:146909	PR:LOC:(40358432,40380605)@chr17@Human
RP:146923	PR:LOC:(38386108,38399233)@chr17@Human
RP:146956	PR:LOC:(45805589,45813817)@chr17@Human
RP:147	PR:LOC:(159276318,159332129)@chr5@Human
RP:1470	PR:LOC:(23752404,23755312)@chr20@Human
RP:147004	PR:LOC:(28885242,28923477)@chr17@Human
RP:147007	PR:LOC:(23708814,23713216)@chr17@Human
RP:147011	PR:LOC:(24054661,24062999)@chr17@Human
RP:147015	PR:LOC:(24248928,24254089)@chr17@Human
RP:147040	PR:LOC:(7196205,7198984)@chr17@Human
RP:147072	PR:LOC:(55770448,55789613)@chr18@Human
RP:147081	PR:LOC:(41073431,41075450)@chr17@Human
RP:1471	PR:LOC:(23562294,23566574)@chr20@Human
RP:147111	PR:LOC:(77503678,77512353)@chr17@Human
RP:147138	PR:LOC:(73638464,73649033)@chr17@Human
RP:147150	PR:LOC:(20218723,20220805)@chr17@Human
RP:147151	PR:LOC:(15608722,15609449)@chr17@Human
RP:147158	PR:LOC:(18327917,18338978)@chr17@Human
RP:147166	PR:LOC:(18542048,18580156)@chr17@Human
RP:147172	PR:LOC:(25958802,25986610)@chr17@Human
RP:147179	PR:LOC:(35666238,35689627)@chr17@Human
RP:147183	PR:LOC:(36157800,36165091)@chr17@Human
RP:147184	PR:LOC:(36228921,36244863)@chr17@Human
RP:147199	PR:LOC:(183080,184573)@chr11@Human
RP:1472	PR:LOC:(23614277,23617662)@chr20@Human
RP:147226	PR:LOC:(16588781,16590826)@chr17@Human
RP:147228	PR:LOC:(16685868,16689854)@chr17@Human
RP:147294	PR:LOC:(75478681,75481403)@chr18@Human
RP:1473	PR:LOC:(23804793,23808317)@chr20@Human
RP:147323	PR:LOC:(50105060,50134941)@chr18@Human
RP:147339	PR:LOC:(42049793,42097265)@chr18@Human
RP:147341	PR:LOC:(42168185,42171088)@chr18@Human
RP:147372	PR:LOC:(55252129,55515570)@chr18@Human
RP:147381	PR:LOC:(68354895,68362542)@chr18@Human
RP:1474	PR:LOC:(65536038,65537552)@chr11@Human
RP:147407	PR:LOC:(27593657,27594789)@chr18@Human
RP:147409	PR:LOC:(27210738,27247877)@chr18@Human
RP:147429	PR:LOC:(22699270,22769908)@chr18@Human
RP:147463	PR:LOC:(19434004,19496849)@chr18@Human
RP:147468	PR:LOC:(20850396,20881510)@chr18@Human
RP:147495	PR:LOC:(10444625,10478694)@chr18@Human
RP:1475	PR:LOC:(123526773,123543201)@chr3@Human
RP:1476	PR:LOC:(44018260,44020687)@chr21@Human
RP:147645	PR:LOC:(56526602,56537190)@chr19@Human
RP:147646	PR:LOC:(56583357,56585640)@chr19@Human
RP:147650	PR:LOC:(56888405,56900255)@chr19@Human
RP:147657	PR:LOC:(57492263,57520987)@chr19@Human
RP:147658	PR:LOC:(57624252,57634511)@chr19@Human
RP:147660	PR:LOC:(57706025,57708794)@chr19@Human
RP:147664	PR:LOC:(58209396,58211645)@chr19@Human
RP:147670	PR:LOC:(61841456,61858880)@chr19@Human
RP:147685	PR:LOC:(63161617,63177716)@chr19@Human
RP:147686	PR:LOC:(63128803,63138552)@chr19@Human
RP:147687	PR:LOC:(63110053,63119756)@chr19@Human
RP:147694	PR:LOC:(62593030,62604598)@chr19@Human
RP:147699	PR:LOC:(50693705,50697406)@chr19@Human
RP:1477	PR:LOC:(54401026,54412514)@chr20@Human
RP:147700	PR:LOC:(50535838,50546618)@chr19@Human
RP:147710	PR:LOC:(49808780,49831921)@chr19@Human
RP:147711	PR:LOC:(49654547,49669406)@chr19@Human
RP:147719	PR:LOC:(47032990,47040348)@chr19@Human
RP:147727	PR:LOC:(10623542,10625158)@chr19@Human
RP:147741	PR:LOC:(9438003,9470279)@chr19@Human
RP:147744	PR:LOC:(60580016,60581424)@chr19@Human
RP:147746	PR:LOC:(45577019,45587934)@chr19@Human
RP:147798	PR:LOC:(59355659,59368664)@chr19@Human
RP:1478	PR:LOC:(99881529,99902066)@chrX@Human
RP:147804	PR:LOC:(58636928,58637672)@chr19@Human
RP:147807	PR:LOC:(60803542,60806316)@chr19@Human
RP:147808	PR:LOC:(60823919,60827753)@chr19@Human
RP:147837	PR:LOC:(12289291,12305344)@chr19@Human
RP:147841	PR:LOC:(11117170,11127458)@chr19@Human
RP:147872	PR:LOC:(54589612,54613058)@chr19@Human
RP:1479	PR:LOC:(33062728,33139578)@chr11@Human
RP:147906	PR:LOC:(51842709,51849754)@chr19@Human
RP:147912	PR:LOC:(50959884,50964152)@chr19@Human
RP:147920	PR:LOC:(51343921,51356396)@chr19@Human
RP:147923	PR:LOC:(42261222,42312502)@chr19@Human
RP:147929	PR:LOC:(41364889,41384792)@chr19@Human
RP:147941	PR:LOC:(37220300,37222389)@chr19@Human
RP:147942	PR:LOC:(37231368,37239611)@chr19@Human
RP:147945	PR:LOC:(61055197,61085033)@chr19@Human
RP:147947	PR:LOC:(61571320,61582709)@chr19@Human
RP:147948	PR:LOC:(61586460,61596701)@chr19@Human
RP:147949	PR:LOC:(61607530,61628212)@chr19@Human
RP:147965	PR:LOC:(43585626,43591567)@chr19@Human
RP:147968	PR:LOC:(43912672,43926954)@chr19@Human
RP:147975	PR:LOC:(43006205,43037676)@chr19@Human
RP:147991	PR:LOC:(37588871,37667076)@chr19@Human
RP:148	PR:LOC:(26661584,26778839)@chr8@Human
RP:1480	PR:LOC:(23847408,23850806)@chr20@Human
RP:148003	PR:LOC:(44838393,44843127)@chr19@Human
RP:148014	PR:LOC:(45413805,45416138)@chr19@Human
RP:148022	PR:LOC:(4766992,4769451)@chr19@Human
RP:148046	PR:LOC:(1218471,1221259)@chr19@Human
RP:148066	PR:LOC:(5406442,5407867)@chr19@Human
RP:1481	PR:LOC:(23701496,23704806)@chr20@Human
RP:148103	PR:LOC:(39940819,39955960)@chr19@Human
RP:148109	PR:LOC:(40407544,40411468)@chr19@Human
RP:148113	PR:LOC:(19510114,19517903)@chr19@Human
RP:148137	PR:LOC:(40940925,40953630)@chr19@Human
RP:148145	PR:LOC:(34147880,34151891)@chr19@Human
RP:148156	PR:LOC:(8781382,8794565)@chr19@Human
RP:148170	PR:LOC:(59668022,59676234)@chr19@Human
RP:148198	PR:LOC:(22363750,22378181)@chr19@Human
RP:1482	PR:LOC:(172591744,172594868)@chr5@Human
RP:148206	PR:LOC:(21051655,21100030)@chr19@Human
RP:148213	PR:LOC:(23718000,23729540)@chr19@Human
RP:148223	PR:LOC:(1424203,1430193)@chr19@Human
RP:148229	PR:LOC:(1733076,1763270)@chr19@Human
RP:148231	PR:LOC:(16005564,16013945)@chr19@Human
RP:148252	PR:LOC:(2665565,2672369)@chr19@Human
RP:148254	PR:LOC:(2792482,2805036)@chr19@Human
RP:148266	PR:LOC:(42593902,42650179)@chr19@Human
RP:148268	PR:LOC:(42651822,42668082)@chr19@Human
RP:148281	PR:LOC:(114346431,114408514)@chr1@Human
RP:148300	PR:LOC:(154491859,154494348)@chr1@Human
RP:148304	PR:LOC:(206344057,206346285)@chr1@Human
RP:148327	PR:LOC:(150753470,150759905)@chr1@Human
RP:148330	PR:LOC:(151163501,151163667)@chr1@Human
RP:148345	PR:LOC:(10940799,10958524)@chr1@Human
RP:148362	PR:LOC:(219274301,219294502)@chr1@Human
RP:148398	PR:LOC:(914833,920104)@chr1@Human
RP:148413	PR:LOC:(1420173,1422693)@chr1@Human
RP:148418	PR:LOC:(84476070,84528500)@chr1@Human
RP:148423	PR:LOC:(85429677,85437346)@chr1@Human
RP:148430	PR:LOC:(158188921,158189986)@chr1@Human
RP:148479	PR:LOC:(6608011,6618322)@chr1@Human
RP:148490	PR:LOC:(19143910,19145791)@chr1@Human
RP:1485	PR:LOC:(153409569,153411224)@chrX@Human
RP:148523	PR:LOC:(147068302,147072574)@chr1@Human
RP:148534	PR:LOC:(95295005,95370895)@chr1@Human
RP:148545	PR:LOC:(108477129,108498715)@chr1@Human
RP:148581	PR:LOC:(64381511,64422048)@chr1@Human
RP:1486	PR:LOC:(84732243,84752119)@chr1@Human
RP:148641	PR:LOC:(230347414,230766997)@chr1@Human
RP:148645	PR:LOC:(6232134,6233770)@chr1@Human
RP:148646	PR:LOC:(6203186,6215125)@chr1@Human
RP:1487	PR:LOC:(1195118,1232621)@chr4@Human
RP:148713	PR:LOC:(198863834,198890240)@chr1@Human
RP:148738	PR:LOC:(142902322,142906589)@chr1@Human
RP:148741	PR:LOC:(143038288,143057565)@chr1@Human
RP:148753	PR:LOC:(176443955,176516990)@chr1@Human
RP:148756	PR:LOC:(177259767,177267311)@chr1@Human
RP:148766	PR:LOC:(116678388,116733516)@chr1@Human
RP:148789	PR:LOC:(231939288,231993822)@chr1@Human
RP:1488	PR:LOC:(126667391,126839019)@chr10@Human
RP:148808	PR:LOC:(202269819,202302994)@chr1@Human
RP:148811	PR:LOC:(202528811,202550902)@chr1@Human
RP:148823	PR:LOC:(244038490,244065900)@chr1@Human
RP:148854	PR:LOC:(74435595,74436940)@chr10@Human
RP:148867	PR:LOC:(101073699,101157029)@chr1@Human
RP:148870	PR:LOC:(3692119,3711366)@chr1@Human
RP:148898	PR:LOC:(23440856,23443578)@chr1@Human
RP:1489	PR:LOC:(30815429,30822382)@chr16@Human
RP:148915	PR:LOC:(8879244,8888875)@chr1@Human
RP:148930	PR:LOC:(46723336,46727704)@chr1@Human
RP:148932	PR:LOC:(46785412,46794526)@chr1@Human
RP:148979	PR:LOC:(53683927,53911898)@chr1@Human
RP:1490	PR:LOC:(132311027,132314155)@chr6@Human
RP:149018	PR:LOC:(149988996,149990669)@chr1@Human
RP:149041	PR:LOC:(170639205,170693867)@chr1@Human
RP:149047	PR:LOC:(78407304,78471595)@chr1@Human
RP:149050	PR:LOC:(79232651,79233761)@chr1@Human
RP:149076	PR:LOC:(33391267,33435413)@chr1@Human
RP:149086	PR:LOC:(31640909,31643260)@chr1@Human
RP:149095	PR:LOC:(151819373,151836481)@chr1@Human
RP:1491	PR:LOC:(70588976,70617274)@chr1@Human
RP:149111	PR:LOC:(221110914,221234984)@chr1@Human
RP:149134	PR:LOC:(243278437,243281732)@chr1@Human
RP:149157	PR:LOC:(178763469,178770045)@chr1@Human
RP:149175	PR:LOC:(37930253,37936313)@chr1@Human
RP:149224	PR:LOC:(68417040,68420808)@chr1@Human
RP:149233	PR:LOC:(67344190,67437683)@chr1@Human
RP:149281	PR:LOC:(166846907,166868556)@chr1@Human
RP:149297	PR:LOC:(162771136,162867143)@chr1@Human
RP:1493	PR:LOC:(204558017,204564189)@chr2@Human
RP:149329	PR:LOC:(59646989,59652408)@chr16@Human
RP:149345	PR:LOC:(198589689,198593084)@chr1@Human
RP:149351	PR:LOC:(91007654,91018092)@chr1@Human
RP:149371	PR:LOC:(227775217,227780288)@chr1@Human
RP:149420	PR:LOC:(26122468,26136183)@chr1@Human
RP:149421	PR:LOC:(25894814,25903240)@chr1@Human
RP:149428	PR:LOC:(147822165,147833135)@chr1@Human
RP:149461	PR:LOC:(42867857,42875018)@chr1@Human
RP:149465	PR:LOC:(43307119,43345642)@chr1@Human
RP:149466	PR:LOC:(43416652,43420332)@chr1@Human
RP:149469	PR:LOC:(43537941,43547555)@chr1@Human
RP:149473	PR:LOC:(44126373,44131293)@chr1@Human
RP:149478	PR:LOC:(44943361,44950061)@chr1@Human
RP:149483	PR:LOC:(45754810,45758822)@chr1@Human
RP:149499	PR:LOC:(153703773,153715953)@chr1@Human
RP:1495	PR:LOC:(138145510,138298419)@chr5@Human
RP:149501	PR:LOC:(153855721,153857671)@chr1@Human
RP:149563	PR:LOC:(16076037,16078490)@chr1@Human
RP:1496	PR:LOC:(79790328,80787472)@chr2@Human
RP:149603	PR:LOC:(224981012,224987806)@chr1@Human
RP:149620	PR:LOC:(111535188,111540777)@chr1@Human
RP:149628	PR:LOC:(155714423,155759591)@chr1@Human
RP:149643	PR:LOC:(209391882,209409386)@chr1@Human
RP:149647	PR:LOC:(209186211,209188512)@chr1@Human
RP:149650	PR:LOC:(60742516,60745101)@chr20@Human
RP:149685	PR:LOC:(36643252,36650518)@chr20@Human
RP:149699	PR:LOC:(41788221,41788981)@chr20@Human
RP:1497	PR:LOC:(3486765,3511581)@chr17@Human
RP:149704	PR:LOC:(42451678,42453610)@chr20@Human
RP:149708	PR:LOC:(43171507,43177217)@chr20@Human
RP:149709	PR:LOC:(43292923,43295386)@chr20@Human
RP:1498	PR:LOC:(114752618,114756037)@chr5@Human
RP:149830	PR:LOC:(4659929,4669314)@chr20@Human
RP:149836	PR:LOC:(5399852,5405780)@chr20@Human
RP:149837	PR:LOC:(5428977,5433259)@chr20@Human
RP:149840	PR:LOC:(5679043,5792558)@chr20@Human
RP:149844	PR:LOC:(6142346,6143986)@chr20@Human
RP:1499	PR:LOC:(41216004,41256938)@chr3@Human
RP:149913	PR:LOC:(23285231,23286770)@chr20@Human
RP:149934	PR:LOC:(26032016,26064153)@chr20@Human
RP:149935	PR:LOC:(29336513,29338329)@chr20@Human
RP:149950	PR:LOC:(30638942,30660356)@chr20@Human
RP:149951	PR:LOC:(30754166,30795036)@chr20@Human
RP:149954	PR:LOC:(31134416,31163218)@chr20@Human
RP:149986	PR:LOC:(60131588,60142908)@chr20@Human
RP:149992	PR:LOC:(13336976,13346203)@chr21@Human
RP:15	PR:LOC:(71975246,71977794)@chr17@Human
RP:150	PR:LOC:(112826911,112830560)@chr10@Human
RP:1500	PR:LOC:(57285845,57343226)@chr11@Human
RP:150000	PR:LOC:(14567991,14595600)@chr21@Human
RP:150051	PR:LOC:(31853434,31854671)@chr21@Human
RP:150082	PR:LOC:(39699640,39737998)@chr21@Human
RP:150084	PR:LOC:(40039204,40095878)@chr21@Human
RP:150094	PR:LOC:(43658828,43671400)@chr21@Human
RP:1501	PR:LOC:(11024956,11957110)@chr5@Human
RP:150135	PR:LOC:(42004749,42009004)@chr21@Human
RP:150142	PR:LOC:(42315447,42318098)@chr21@Human
RP:150147	PR:LOC:(42395313,42401627)@chr21@Human
RP:150159	PR:LOC:(104179864,104298480)@chr4@Human
RP:150160	PR:LOC:(15446273,15448254)@chr22@Human
RP:150165	PR:LOC:(15638923,15677136)@chr22@Human
RP:150207	PR:LOC:(19346437,19350027)@chr22@Human
RP:150209	PR:LOC:(19643988,19660203)@chr22@Human
RP:150221	PR:LOC:(20224200,20229819)@chr22@Human
RP:150223	PR:LOC:(20306935,20308894)@chr22@Human
RP:150236	PR:LOC:(21299100,21300541)@chr22@Human
RP:150244	PR:LOC:(22057347,22069296)@chr22@Human
RP:150248	PR:LOC:(22429762,22432601)@chr22@Human
RP:150274	PR:LOC:(27462624,27477760)@chr22@Human
RP:150275	PR:LOC:(27493261,27509832)@chr22@Human
RP:150280	PR:LOC:(28814459,28897616)@chr22@Human
RP:150290	PR:LOC:(29382593,29388426)@chr22@Human
RP:150291	PR:LOC:(29642950,29647091)@chr22@Human
RP:150297	PR:LOC:(30870791,30879863)@chr22@Human
RP:1503	PR:LOC:(41114536,41147321)@chr1@Human
RP:150350	PR:LOC:(38463550,38614294)@chr22@Human
RP:150353	PR:LOC:(39580053,39582630)@chr22@Human
RP:150356	PR:LOC:(39951346,39961360)@chr22@Human
RP:150368	PR:LOC:(40794521,40799942)@chr22@Human
RP:150371	PR:LOC:(41084904,41089659)@chr22@Human
RP:150372	PR:LOC:(41105418,41152894)@chr22@Human
RP:150379	PR:LOC:(42601576,42612661)@chr22@Human
RP:150383	PR:LOC:(44958400,44962140)@chr22@Human
RP:1504	PR:LOC:(73810399,73816322)@chr16@Human
RP:150400	PR:LOC:(47898794,47931074)@chr22@Human
RP:150417	PR:LOC:(49483017,49484040)@chr22@Human
RP:150465	PR:LOC:(112956129,113006214)@chr2@Human
RP:150468	PR:LOC:(113211677,113238417)@chr2@Human
RP:150472	PR:LOC:(113911613,113969976)@chr2@Human
RP:150478	PR:LOC:(114131681,114132692)@chr2@Human
RP:150483	PR:LOC:(94959106,94964442)@chr2@Human
RP:150516	PR:LOC:(130453467,130456541)@chr2@Human
RP:150519	PR:LOC:(131284835,131296057)@chr2@Human
RP:150538	PR:LOC:(200160125,200167164)@chr2@Human
RP:150554	PR:LOC:(127029217,127031985)@chr2@Human
RP:150568	PR:LOC:(104509354,104587733)@chr2@Human
RP:150572	PR:LOC:(88206643,88249635)@chr2@Human
RP:150577	PR:LOC:(100283234,100326464)@chr2@Human
RP:150580	PR:LOC:(100664910,100666418)@chr2@Human
RP:150590	PR:LOC:(99216703,99226468)@chr2@Human
RP:150596	PR:LOC:(150449528,150541213)@chr2@Human
RP:1506	PR:LOC:(66520975,66523266)@chr16@Human
RP:150622	PR:LOC:(6062310,6064972)@chr2@Human
RP:150677	PR:LOC:(240798436,240800063)@chr2@Human
RP:150678	PR:LOC:(240785970,240795754)@chr2@Human
RP:150681	PR:LOC:(240688372,240705479)@chr2@Human
RP:150684	PR:LOC:(62044458,62274848)@chr2@Human
RP:150696	PR:LOC:(95362075,95378928)@chr2@Human
RP:150709	PR:LOC:(190366723,190436876)@chr2@Human
RP:150726	PR:LOC:(73394604,73408251)@chr2@Human
RP:150737	PR:LOC:(178240742,178243011)@chr2@Human
RP:150739	PR:LOC:(177878257,177888788)@chr2@Human
RP:150759	PR:LOC:(95894691,95904384)@chr2@Human
RP:150763	PR:LOC:(96109657,96122542)@chr2@Human
RP:150771	PR:LOC:(96413835,96415942)@chr2@Human
RP:150786	PR:LOC:(131952420,131955463)@chr2@Human
RP:1508	PR:LOC:(11739236,11763044)@chr8@Human
RP:150864	PR:LOC:(203325210,203456681)@chr2@Human
RP:1509	PR:LOC:(1730561,1741798)@chr11@Human
RP:150928	PR:LOC:(81162032,81162993)@chr13@Human
RP:150946	PR:LOC:(26307611,26324164)@chr2@Human
RP:150947	PR:LOC:(26296366,26298379)@chr2@Human
RP:150962	PR:LOC:(61080755,61156859)@chr2@Human
RP:151	PR:LOC:(96200497,96203762)@chr2@Human
RP:1510	PR:LOC:(202860526,202875171)@chr1@Human
RP:151009	PR:LOC:(110567356,110575433)@chr2@Human
RP:151011	PR:LOC:(109657753,109729158)@chr2@Human
RP:151050	PR:LOC:(210710941,210861557)@chr2@Human
RP:151056	PR:LOC:(28732420,28778305)@chr2@Human
RP:1511	PR:LOC:(24112564,24115306)@chr14@Human
RP:151112	PR:LOC:(187518063,187539403)@chr2@Human
RP:151121	PR:LOC:(129715976,129747651)@chr2@Human
RP:151126	PR:LOC:(180132226,180436275)@chr2@Human
RP:151154	PR:LOC:(119307506,119308415)@chr2@Human
RP:151171	PR:LOC:(239201331,239245695)@chr2@Human
RP:151174	PR:LOC:(238915761,238922072)@chr2@Human
RP:151188	PR:LOC:(153400635,153442931)@chr2@Human
RP:151194	PR:LOC:(208302332,208315214)@chr2@Human
RP:151195	PR:LOC:(208401770,208444695)@chr2@Human
RP:1512	PR:LOC:(77001162,77024475)@chr15@Human
RP:151230	PR:LOC:(170416029,170435227)@chr2@Human
RP:151242	PR:LOC:(182676101,182821615)@chr2@Human
RP:151246	PR:LOC:(201216386,201270897)@chr2@Human
RP:151254	PR:LOC:(202177657,202309404)@chr2@Human
RP:151256	PR:LOC:(202471470,202472385)@chr2@Human
RP:151258	PR:LOC:(165580319,165637542)@chr2@Human
RP:151261	PR:LOC:(12197306,12222309)@chr2@Human
RP:151273	PR:LOC:(186237368,186426579)@chr2@Human
RP:151276	PR:LOC:(149750447,149751008)@chr2@Human
RP:151278	PR:LOC:(222988371,222995441)@chr2@Human
RP:151295	PR:LOC:(219851696,219860220)@chr2@Human
RP:1513	PR:LOC:(147581760,147593885)@chr1@Human
RP:151300	PR:LOC:(219666511,219669887)@chr2@Human
RP:151306	PR:LOC:(218951258,218954087)@chr2@Human
RP:151313	PR:LOC:(97171198,97182456)@chr2@Human
RP:151320	PR:LOC:(97711566,97713612)@chr2@Human
RP:151325	PR:LOC:(33862974,33864922)@chr2@Human
RP:151354	PR:LOC:(14723454,14727045)@chr2@Human
RP:151363	PR:LOC:(217561001,217561868)@chr2@Human
RP:151393	PR:LOC:(38089257,38205931)@chr2@Human
RP:1514	PR:LOC:(87570534,87575862)@chr9@Human
RP:151443	PR:LOC:(58414663,58435334)@chr2@Human
RP:151445	PR:LOC:(58599073,58600774)@chr2@Human
RP:151449	PR:LOC:(20788052,20792878)@chr2@Human
RP:151451	PR:LOC:(20620959,20622699)@chr2@Human
RP:151457	PR:LOC:(20347107,20363462)@chr2@Human
RP:151473	PR:LOC:(230725205,230759124)@chr2@Human
RP:151477	PR:LOC:(232198642,232204555)@chr2@Human
RP:1515	PR:LOC:(96874492,96881094)@chr9@Human
RP:151507	PR:LOC:(234556094,234559090)@chr2@Human
RP:151516	PR:LOC:(70098877,70101048)@chr2@Human
RP:151525	PR:LOC:(159917819,159968570)@chr2@Human
RP:151531	PR:LOC:(158677199,158817986)@chr2@Human
RP:151534	PR:LOC:(74641944,74643460)@chr2@Human
RP:151556	PR:LOC:(175124847,175177315)@chr2@Human
RP:151579	PR:LOC:(117845775,117859656)@chr3@Human
RP:151613	PR:LOC:(181802662,181811461)@chr3@Human
RP:151636	PR:LOC:(123765956,123775973)@chr3@Human
RP:151645	PR:LOC:(68767526,68769083)@chr3@Human
RP:151647	PR:LOC:(68863607,69064402)@chr3@Human
RP:151648	PR:LOC:(20177089,20202687)@chr3@Human
RP:151649	PR:LOC:(19996458,20028751)@chr3@Human
RP:151651	PR:LOC:(19895972,19950676)@chr3@Human
RP:151658	PR:LOC:(109043199,109079609)@chr3@Human
RP:1517	PR:LOC:(46677552,46692339)@chr10@Human
RP:151742	PR:LOC:(162042703,162271518)@chr3@Human
RP:151760	PR:LOC:(112093677,112172679)@chr3@Human
RP:151790	PR:LOC:(168679177,168853991)@chr3@Human
RP:151825	PR:LOC:(171103465,171104746)@chr3@Human
RP:151827	PR:LOC:(170993963,171013014)@chr3@Human
RP:151835	PR:LOC:(9720510,9746592)@chr3@Human
RP:151842	PR:LOC:(17887906,17889174)@chr3@Human
RP:151871	PR:LOC:(110495331,110518054)@chr3@Human
RP:151887	PR:LOC:(113806101,113842667)@chr3@Human
RP:151888	PR:LOC:(113667645,113700895)@chr3@Human
RP:1519	PR:LOC:(157202877,157232653)@chr4@Human
RP:151903	PR:LOC:(46938225,46993242)@chr3@Human
RP:151963	PR:LOC:(193997309,194118652)@chr3@Human
RP:151987	PR:LOC:(73128809,73197701)@chr3@Human
RP:152	PR:LOC:(3804399,3807217)@chr4@Human
RP:1520	PR:LOC:(147515624,147551378)@chr1@Human
RP:152002	PR:LOC:(196270312,196473174)@chr3@Human
RP:152006	PR:LOC:(36326393,36391195)@chr9@Human
RP:152007	PR:LOC:(36126742,36153903)@chr9@Human
RP:152015	PR:LOC:(127170700,127184995)@chr3@Human
RP:152024	PR:LOC:(24116469,24119733)@chr3@Human
RP:152028	PR:LOC:(138159405,138212618)@chr3@Human
RP:152065	PR:LOC:(127751218,127760456)@chr3@Human
RP:152078	PR:LOC:(158743737,158779376)@chr3@Human
RP:152098	PR:LOC:(28406993,28541633)@chr3@Human
RP:1521	PR:LOC:(65403860,65407786)@chr11@Human
RP:152100	PR:LOC:(28258128,28336268)@chr3@Human
RP:152101	PR:LOC:(26362759,26364221)@chr3@Human
RP:152110	PR:LOC:(27178761,27307988)@chr3@Human
RP:152118	PR:LOC:(154684982,154703184)@chr3@Human
RP:152122	PR:LOC:(69082251,69101634)@chr3@Human
RP:152137	PR:LOC:(192529576,192592666)@chr3@Human
RP:152138	PR:LOC:(192661654,192661947)@chr3@Human
RP:152185	PR:LOC:(114644259,114716693)@chr3@Human
RP:152189	PR:LOC:(32255175,32386817)@chr3@Human
RP:152195	PR:LOC:(132563454,132566073)@chr3@Human
RP:1522	PR:LOC:(57003635,57015697)@chr20@Human
RP:152206	PR:LOC:(42724883,42789747)@chr3@Human
RP:152217	PR:LOC:(198157884,198158724)@chr3@Human
RP:152225	PR:LOC:(103142392,103199460)@chr3@Human
RP:152273	PR:LOC:(14826788,14950899)@chr3@Human
RP:1523	PR:LOC:(101052727,101520685)@chr7@Human
RP:152302	PR:LOC:(10034175,10043044)@chr3@Human
RP:152330	PR:LOC:(2117247,3074645)@chr3@Human
RP:1524	PR:LOC:(39279991,39296526)@chr3@Human
RP:152404	PR:LOC:(120103691,120314315)@chr3@Human
RP:152405	PR:LOC:(120347687,120352992)@chr3@Human
RP:152485	PR:LOC:(147039495,147217187)@chr4@Human
